SKU;PRODUTO;PEDIDO MÍN;PREÇO MAR
24486;GALLO AZEITE OLIVA EX. VIR. GFA VDR 500ML;1440; R$ 23,50 
21779;VELHO BARREIRO GARRAFA VIDRO 910ML;720; R$ 11,90 
23443;PITU AGUARDENTE GARRAFA VIDRO 965ML;624; R$ 10,50 
23184;PITU AGUARDENTE LT 350ML CX C/12;220; R$ 50,90 
21791;PIRASSUNUNGA 51 GARRAFA VIDRO 965ML;840; R$ 10,50 
25178;51 Ice Limao Garrafa Vd 275Ml Cx C24;128; R$ 105,36 
21529;Absolut Original Garrafa Vidro 1 L;480; R$ 79,90 
21788;Ballantines Finest Garrafa Vidro 1 L;480; R$ 63,90 
21781;SMIRNOFF ICE GARRAFA VD 275ML CX C24;78; R$ 131,76 
21530;SMIRNOFF ORIGINAL GARRAFA VIDRO 998ML;660; R$ 26,90 
21526;JOHNNIE WALKER RED LABEL GARRAFA VIDRO 1 L;720; R$ 77,90 
21792;WHITE HORSE GARRAFA VIDRO 1 L;660; R$ 56,90 
35555;Xeque Mate B M Mat Rum Guar Lim Lata 362Ml Cx C12;232; R$ 7,99 
